13:16:01 5000 A Pause    
13:16:06 5000 A Pause    
13:16:11 5000 A Pause    
13:16:16 5000 A Pause    
13:16:21 5000 A Pause    
13:16:26 5000 A Pause    
13:16:31 5000 A Pause    
13:16:36 5000 A Pause    
13:16:41 5000 A Pause    
13:16:46 5000 A Pause    
13:16:51 5000 A Pause    
13:16:56 5000 A Pause    
13:17:01 5000 A Pause    
13:17:06 5000 A Pause    
13:17:11 5000 A Pause    
13:17:16 5000 A Pause    
13:17:21 5000 A Pause    
13:17:26 5000 A Pause    
13:17:31 5000 A Pause    
13:17:36 5000 A Pause    
13:17:41 5000 A Pause    
13:17:46 5000 A Pause    
13:17:51 5000 A Pause    
13:17:56 5000 A Pause    
13:18:01 5000 A Pause    
13:18:06 5000 A Pause    
13:18:11 5000 A Pause    
13:18:16 5000 A Pause    
13:18:21 5000 A Pause    
13:18:26 5000 A Pause    
13:18:31 5000 A Pause    
13:18:36 5000 A Pause    
13:18:41 5000 A Pause    
13:18:46 5000 A Pause    
13:18:51 5000 A Pause    
13:18:56 5000 A Pause    
13:19:01 5000 A Pause    
13:19:06 5000 A Pause    
13:19:11 5000 A Pause    
13:19:16 5000 A Pause    
13:19:21 5000 A Pause    
13:19:26 5000 A Pause    
13:19:31 5000 A Pause    
13:19:36 5000 A Pause    
13:19:41 5000 A Pause    
13:19:46 5000 A Pause    
13:19:51 5000 A Pause    
13:19:56 5000 A Pause    
13:20:01 5000 A Pause    
13:20:06 5000 A Pause    
13:20:11 5000 A Pause    
13:20:16 5000 A Pause    
13:20:21 5000 A Pause    
13:20:26 5000 A Pause    
13:20:31 5000 A Pause    
13:20:36 5000 A Pause    
13:20:41 5000 A Pause    
13:20:46 5000 A Pause    
13:20:51 5000 A Pause    
13:20:56 5000 A Pause    
13:21:01 5000 A Pause    
13:21:06 5000 A Pause    
13:21:11 5000 A Pause    
13:21:16 5000 A Pause    
13:21:21 5000 A Pause    
13:21:26 5000 A Pause    
13:21:31 5000 A Pause    
13:21:36 5000 A Pause    
13:21:41 5000 A Pause    
13:21:46 5000 A Pause    
13:21:51 5000 A Pause    
13:21:56 5000 A Pause    
13:22:01 5000 A Pause    
13:22:06 5000 A Pause    
13:22:11 5000 A Pause    
13:22:16 5000 A Pause    
13:22:21 5000 A Pause    
13:22:26 5000 A Pause    
13:22:31 5000 A Pause    
13:22:36 5000 A Pause    
13:22:41 5000 A Pause    
13:22:46 5000 A Pause    
13:22:51 5000 A Pause    
13:22:56 5000 A Pause    
13:23:01 5000 A Pause    
13:23:06 5000 A Pause    
13:23:11 5000 A Pause    
13:23:16 5000 A Pause    
13:23:21 5000 A Pause    
13:23:26 5000 A Pause    
13:23:31 5000 A Pause    
13:23:36 5000 A Pause    
13:23:41 5000 A Pause    
13:23:46 5000 A Pause    
13:23:51 5000 A Pause    
13:23:56 5000 A Pause    
13:24:01 5000 A Pause    
13:24:06 5000 A Pause    
13:24:11 5000 A Pause    
13:24:16 5000 A Pause    
13:24:21 5000 A Pause    
13:24:26 5000 A Pause    
13:24:31 5000 A Pause    
13:24:36 5000 A Pause    
13:24:41 5000 A Pause    
13:24:46 5000 A Pause    
13:24:51 5000 A Pause    
13:24:56 5000 A Pause    
13:25:01 5000 A Pause    
13:25:06 5000 A Pause    
13:25:11 5000 A Pause    
13:25:16 5000 A Pause    
13:25:21 5000 A Pause    
13:25:26 5000 A Pause    
13:25:31 5000 A Pause    
13:25:36 5000 A Pause    
13:25:41 5000 A Pause    
13:25:46 5000 A Pause    
13:25:51 5000 A Pause    
13:25:56 5000 A Pause    
13:26:01 5000 A Pause    
13:26:06 5000 A Pause    
13:26:11 5000 A Pause    
13:26:16 5000 A Pause    
13:26:21 5000 A Pause    
13:26:26 5000 A Pause    
13:26:31 5000 A Pause    
13:26:36 5000 A Pause    
13:26:41 5000 A Pause    
13:26:46 5000 A Pause    
13:26:51 5000 A Pause    
13:26:56 5000 A Pause    
13:27:01 5000 A Pause    
13:27:06 5000 A Pause    
13:27:11 5000 A Pause    
13:27:16 5000 A Pause    
13:27:21 5000 A Pause    
13:27:26 5000 A Pause    
13:27:31 5000 A Pause    
13:27:36 5000 A Pause    
13:27:41 5000 A Pause    
13:27:46 5000 A Pause    
13:27:51 5000 A Pause    
13:27:56 5000 A Pause    
13:28:01 5000 A Pause    
13:28:06 5000 A Pause    
13:28:11 5000 A Pause    
13:28:16 5000 A Pause    
13:28:21 5000 A Pause    
13:28:26 5000 A Pause    
13:28:31 5000 A Pause    
13:28:36 5000 A Pause    
13:28:41 5000 A Pause    
13:28:46 5000 A Pause    
13:28:51 5000 A Pause    
13:28:56 5000 A Pause    
13:29:01 5000 A Pause    
13:29:06 5000 A Pause    
13:29:11 5000 A Pause    
13:29:16 5000 A Pause    
13:29:21 5000 A Pause    
13:29:26 5000 A Pause    
13:29:31 5000 A Pause    
13:29:36 5000 A Pause    
13:29:41 5000 A Pause    
13:29:46 5000 A Pause    
13:29:51 5000 A Pause    
13:29:56 5000 A Pause    
13:30:01 5000 A Pause    
13:30:06 5000 A Pause    
13:30:11 5000 A Pause    
13:30:16 5000 A Pause    
13:30:21 5000 A Pause    
13:30:26 5000 A Pause    
13:30:31 5000 A Pause    
13:30:36 5000 A Pause    
13:30:41 5000 A Pause    
13:30:46 5000 A Pause    
13:30:51 5000 A Pause    
13:30:56 5000 A Pause    
13:31:01 5000 A Pause    
13:31:06 5000 A Pause    
13:31:11 5000 A Pause    
13:31:16 5000 A Pause    
13:31:21 5000 A Pause    
13:31:26 5000 A Pause    
13:31:31 5000 A Pause    
13:31:36 5000 A Pause    
13:31:41 5000 A Pause    
13:31:46 5000 A Pause    
13:31:51 5000 A Pause    
13:31:56 5000 A Pause    
13:32:01 5000 A Pause    
13:32:06 5000 A Pause    
13:32:11 5000 A Pause    
13:32:16 5000 A Pause    
13:32:21 5000 A Pause    
13:32:26 5000 A Pause    
13:32:31 5000 A Pause    
13:32:36 5000 A Pause    
13:32:41 5000 A Pause    
13:32:46 5000 A Pause    
13:32:51 5000 A Pause    
13:32:56 5000 A Pause    
13:33:01 5000 A Pause    
13:33:06 5000 A Pause    
13:33:11 5000 A Pause    
13:33:16 5000 A Pause    
13:33:21 5000 A Pause    
13:33:26 5000 A Pause    
13:33:31 5000 A Pause    
13:33:36 5000 A Pause    
13:33:41 5000 A Pause    
13:33:46 5000 A Pause    
13:33:51 5000 A Pause    
13:33:56 5000 A Pause    
13:34:01 5000 A Pause    
13:34:06 5000 A Pause    
13:34:11 5000 A Pause    
13:34:16 5000 A Pause    
13:34:21 5000 A Pause    
13:34:26 5000 A Pause    
13:34:31 5000 A Pause    
13:34:36 5000 A Pause    
13:34:41 5000 A Pause    
13:34:46 5000 A Pause    
13:34:51 5000 A Pause    
13:34:56 5000 A Pause    
13:35:01 5000 A Pause    
13:35:06 5000 A Pause    
13:35:11 5000 A Pause    
13:35:16 5000 A Pause    
13:35:21 5000 A Pause    
13:35:26 5000 A Pause    
13:35:31 5000 A Pause    
13:35:36 5000 A Pause    
13:35:41 5000 A Pause    
13:35:46 5000 A Pause    
13:35:51 5000 A Pause    
13:35:56 5000 A Pause    
13:36:01 5000 A Pause    
13:36:06 5000 A Pause    
13:36:11 5000 A Pause    
13:36:16 5000 A Pause    
13:36:21 5000 A Pause    
13:36:26 5000 A Pause    
13:36:31 5000 A Pause    
13:36:36 5000 A Pause    
13:36:41 5000 A Pause    
13:36:46 5000 A Pause    
13:36:51 5000 A Pause    
13:36:56 5000 A Pause    
13:37:01 5000 A Pause    
13:37:06 5000 A Pause    
13:37:11 5000 A Pause    
13:37:16 5000 A Pause    
13:37:21 5000 A Pause    
13:37:26 5000 A Pause    
13:37:31 5000 A Pause    
13:37:36 5000 A Pause    
13:37:41 5000 A Pause    
13:37:46 5000 A Pause    
13:37:51 5000 A Pause    
13:37:56 5000 A Pause    
13:38:01 5000 A Pause    
13:38:06 5000 A Pause    
13:38:11 5000 A Pause    
13:38:16 5000 A Pause    
13:38:21 5000 A Pause    
13:38:26 5000 A Pause    
13:38:31 5000 A Pause    
13:38:36 5000 A Pause    
13:38:41 5000 A Pause    
13:38:46 5000 A Pause    
13:38:51 5000 A Pause    
13:38:56 5000 A Pause    
13:39:01 5000 A Pause    
13:39:06 5000 A Pause    
13:39:11 5000 A Pause    
13:39:16 5000 A Pause    
13:39:21 5000 A Pause    
13:39:26 5000 A Pause    
13:39:31 5000 A Pause    
13:39:36 5000 A Pause    
13:39:41 5000 A Pause    
13:39:46 5000 A Pause    
13:39:51 5000 A Pause    
13:39:56 5000 A Pause    
13:40:01 5000 A Pause    
13:40:06 5000 A Pause    
13:40:11 5000 A Pause    
13:40:16 5000 A Pause    
13:40:21 5000 A Pause    
13:40:26 5000 A Pause    
13:40:31 5000 A Pause    
13:40:36 5000 A Pause    
13:40:41 5000 A Pause    
13:40:46 5000 A Pause    
13:40:51 5000 A Pause    
13:40:56 5000 A Pause    
13:41:01 5000 A Pause    
13:41:06 5000 A Pause    
13:41:11 5000 A Pause    
13:41:16 5000 A Pause    
13:41:21 5000 A Pause    
13:41:26 5000 A Pause    
13:41:31 5000 A Pause    
13:41:36 5000 A Pause    
13:41:41 5000 A Pause    
13:41:46 5000 A Pause    
13:41:51 5000 A Pause    
13:41:56 5000 A Pause    
13:42:01 5000 A Pause    
13:42:06 5000 A Pause    
13:42:11 5000 A Pause    
13:42:16 5000 A Pause    
13:42:21 5000 A Pause    
13:42:26 5000 A Pause    
13:42:31 5000 A Pause    
13:42:36 5000 A Pause    
13:42:41 5000 A Pause    
13:42:46 5000 A Pause    
13:42:51 5000 A Pause    
13:42:56 5000 A Pause    
13:43:01 5000 A Pause    
13:43:06 5000 A Pause    
13:43:11 5000 A Pause    
13:43:16 5000 A Pause    
13:43:21 5000 A Pause    
13:43:26 5000 A Pause    
13:43:31 5000 A Pause    
13:43:36 5000 A Pause    
13:43:41 5000 A Pause    
13:43:46 5000 A Pause    
13:43:51 5000 A Pause    
13:43:56 5000 A Pause    
13:44:01 5000 A Pause    
13:44:06 5000 A Pause    
13:44:11 5000 A Pause    
13:44:16 5000 A Pause    
13:44:21 5000 A Pause    
13:44:26 5000 A Pause    
13:44:31 5000 A Pause    
13:44:36 5000 A Pause    
13:44:41 5000 A Pause    
13:44:46 5000 A Pause    
13:44:51 5000 A Pause    
13:44:56 5000 A Pause    
13:45:01 5000 A Pause    
13:45:06 5000 A Pause    
13:45:11 5000 A Pause    
13:45:16 5000 A Pause    
13:45:21 5000 A Pause    
13:45:26 5000 A Pause    
13:45:31 5000 A Pause    
13:45:36 5000 A Pause    
13:45:41 5000 A Pause    
13:45:46 5000 A Pause    
13:45:51 5000 A Pause    
13:45:56 5000 A Pause    
13:46:01 5000 A Pause    
13:46:06 5000 A Pause    
13:46:11 5000 A Pause    
13:46:16 5000 A Pause    
13:46:21 5000 A Pause    
13:46:26 5000 A Pause    
13:46:31 5000 A Pause    
13:46:36 5000 A Pause    
13:46:41 5000 A Pause    
13:46:46 5000 A Pause    
13:46:51 5000 A Pause    
13:46:56 5000 A Pause    
13:47:01 5000 A Pause    
13:47:06 5000 A Pause    
13:47:11 5000 A Pause    
13:47:16 5000 A Pause    
13:47:21 5000 A Pause    
13:47:26 5000 A Pause    
13:47:31 5000 A Pause    
13:47:36 5000 A Pause    
13:47:41 5000 A Pause    
13:47:46 5000 A Pause    
13:47:51 5000 A Pause    
13:47:56 5000 A Pause    
13:48:01 5000 A Pause    
13:48:06 5000 A Pause    
13:48:11 5000 A Pause    
13:48:16 5000 A Pause    
13:48:21 5000 A Pause    
13:48:26 5000 A Pause    
13:48:31 5000 A Pause    
13:48:36 5000 A Pause    
13:48:41 5000 A Pause    
13:48:46 5000 A Pause    
13:48:51 5000 A Pause    
13:48:56 5000 A Pause    
13:49:01 5000 A Pause    
13:49:06 5000 A Pause    
13:49:11 5000 A Pause    
13:49:16 5000 A Pause    
13:49:21 5000 A Pause    
13:49:26 5000 A Pause    
13:49:31 5000 A Pause    
13:49:36 5000 A Pause    
13:49:41 5000 A Pause    
13:49:46 5000 A Pause    
13:49:51 5000 A Pause    
13:49:56 5000 A Pause    
13:50:01 5000 A Pause    
13:50:06 5000 A Pause    
13:50:11 5000 A Pause    
13:50:16 5000 A Pause    
13:50:21 5000 A Pause    
13:50:26 5000 A Pause    
13:50:31 5000 A Pause    
13:50:36 5000 A Pause    
13:50:41 5000 A Pause    
13:50:46 5000 A Pause    
13:50:51 5000 A Pause    
13:50:56 5000 A Pause    
13:51:01 5000 A Pause    
13:51:06 5000 A Pause    
13:51:11 5000 A Pause    
13:51:16 5000 A Pause    
13:51:21 5000 A Pause    
13:51:26 5000 A Pause    
13:51:31 5000 A Pause    
13:51:36 5000 A Pause    
13:51:41 5000 A Pause    
13:51:46 5000 A Pause    
13:51:51 5000 A Pause    
13:51:56 5000 A Pause    
13:52:01 5000 A Pause    
13:52:06 5000 A Pause    
13:52:11 5000 A Pause    
13:52:16 5000 A Pause    
13:52:21 5000 A Pause    
13:52:26 5000 A Pause    
13:52:31 5000 A Pause    
13:52:36 5000 A Pause    
13:52:41 5000 A Pause    
13:52:46 5000 A Pause    
13:52:51 5000 A Pause    
13:52:56 5000 A Pause    
13:53:01 5000 A Pause    
13:53:06 5000 A Pause    
13:53:11 5000 A Pause    
13:53:16 5000 A Pause    
13:53:21 5000 A Pause    
13:53:26 5000 A Pause    
13:53:31 5000 A Pause    
13:53:36 5000 A Pause    
13:53:41 5000 A Pause    
13:53:46 5000 A Pause    
13:53:51 5000 A Pause    
13:53:56 5000 A Pause    
13:54:01 5000 A Pause    
13:54:06 5000 A Pause    
13:54:11 5000 A Pause    
13:54:16 5000 A Pause    
